Ramiro Appezzato,Buenos Aires,2025-06-12T15:22:36.350972,15.57,cielo claro
Ramiro Appezzato,New York,2025-06-12T15:23:56.355701,31.18,algo de nubes
Ramiro Appezzato,Buenos Aires,2025-06-12T15:47:17.126749,15.9,Cielo claro
Ramiro Appezzato,Miami,2025-06-12T15:47:39.011781,31.15,Muy nuboso
Ramiro Appezzato,leonforte,2025-06-12T15:47:49.706625,23.12,Nubes
Ramiro Appezzato,"Rio hondo, santiago del estero",2025-06-12T15:48:05.294315,30.59,Nubes
Ramiro Appezzato,barcelona,2025-06-12T15:48:36.866472,25.21,Algo de nubes
Ramiro Appezzato,El palomar,2025-06-12T15:49:03.674765,26.29,Cielo claro
Ramiro Appezzato,"El palomar, buenos aires, argentina",2025-06-12T15:49:32.845278,15.83,Cielo claro
Ramiro Appezzato,Texas,2025-06-12T15:49:50.783835,27.97,Muy nuboso
Ramiro Appezzato,Cancun,2025-06-12T15:49:57.967692,33.31,Lluvia ligera
Ramiro Appezzato,Punta Cana,2025-06-12T15:50:07.513974,29.88,Lluvia ligera
Ramiro Appezzato,Cordoba,2025-06-12T15:51:06.502010,19.47,Cielo claro
layolia,BUENOS AIRES,2025-06-12T15:52:28.805524,15.81,Cielo claro
Ramiro Appezzato,miami,2025-06-12T16:03:34.228529,31.06,Muy nuboso
Ramiro Appezzato,miam,2025-06-12T16:15:58.052826,20.48,Nubes
Ramiro Appezzato,luxenburgo,2025-06-12T16:16:32.542855,24.38,Cielo claro
Ramiro Appezzato,Buenos Aires,2025-06-12T16:19:14.747387,15.81,Cielo claro
Ramiro Appezzato,buenos aires,2025-06-12T16:57:08.519791,15.72,Cielo claro
Ramiro Appezzato,haedo,2025-06-12T17:00:37.467773,15.67,Cielo claro
Ramiro Appezzato,buenos aires,2025-06-12T17:26:52.143555,15.75,Cielo claro
Ramiro Appezzato,bsas,2025-06-12T17:43:46.373403,21.28,Cielo claro
Ramiro Appezzato,argentina,2025-06-12T17:50:07.146650,15.75,Nubes dispersas
Ramiro Appezzato,Haedo,2025-06-12T20:23:39.912831,14.29,Cielo claro
Ramiro Appezzato,buenos aires,2025-06-12T21:48:00.025756,13.54,Cielo claro
Ramiro Appezzato,buenos aires,2025-06-12T21:48:08.741328,13.54,Cielo claro
